"book_name","department","study_level","read_count"
"20000 Leagues Under the Sea","COMPUTER_SCIENCE","GRAD",5
"20000 Leagues Under the Sea","COMPUTER_SCIENCE","UNDERGRAD",9
"20000 Leagues Under the Sea","DANCE","GRAD",5
"20000 Leagues Under the Sea","DANCE","UNDERGRAD",4
"20000 Leagues Under the Sea","ECONOMICS","GRAD",1
"20000 Leagues Under the Sea","ECONOMICS","UNDERGRAD",4
"20000 Leagues Under the Sea","ENGLISH","GRAD",6
"20000 Leagues Under the Sea","ENGLISH","UNDERGRAD",4
"20000 Leagues Under the Sea","MATHEMATICS","GRAD",3
"20000 Leagues Under the Sea","MATHEMATICS","UNDERGRAD",3
"20000 Leagues Under the Sea","POLITICAL_SCIENCE","GRAD",1
"20000 Leagues Under the Sea","POLITICAL_SCIENCE","UNDERGRAD",6
"20000 Leagues Under the Sea","PSYCHOLOGY","GRAD",1
"20000 Leagues Under the Sea","PSYCHOLOGY","UNDERGRAD",4
"20000 Leagues Under the Sea","STATISTICS","GRAD",4
"20000 Leagues Under the Sea","STATISTICS","UNDERGRAD",3
"Age of Discontuinity, The","COMPUTER_SCIENCE","GRAD",1
"Age of Discontuinity, The","COMPUTER_SCIENCE","UNDERGRAD",5
"Age of Discontuinity, The","DANCE","GRAD",5
"Age of Discontuinity, The","DANCE","UNDERGRAD",2
"Age of Discontuinity, The","ECONOMICS","GRAD",2
"Age of Discontuinity, The","ECONOMICS","UNDERGRAD",3
"Age of Discontuinity, The","ENGLISH","GRAD",3
"Age of Discontuinity, The","ENGLISH","UNDERGRAD",3
"Age of Discontuinity, The","MATHEMATICS","GRAD",3
"Age of Discontuinity, The","MATHEMATICS","UNDERGRAD",5
"Age of Discontuinity, The","POLITICAL_SCIENCE","GRAD",6
"Age of Discontuinity, The","POLITICAL_SCIENCE","UNDERGRAD",4
"Age of Discontuinity, The","PSYCHOLOGY","GRAD",2
"Age of Discontuinity, The","PSYCHOLOGY","UNDERGRAD",2
"Age of Discontuinity, The","STATISTICS","GRAD",1
"Age of Wrath, The","COMPUTER_SCIENCE","GRAD",2
"Age of Wrath, The","COMPUTER_SCIENCE","UNDERGRAD",2
"Age of Wrath, The","DANCE","GRAD",6
"Age of Wrath, The","DANCE","UNDERGRAD",2
"Age of Wrath, The","ECONOMICS","GRAD",3
"Age of Wrath, The","ECONOMICS","UNDERGRAD",2
"Age of Wrath, The","ENGLISH","GRAD",1
"Age of Wrath, The","ENGLISH","UNDERGRAD",3
"Age of Wrath, The","MATHEMATICS","GRAD",3
"Age of Wrath, The","MATHEMATICS","UNDERGRAD",3
"Age of Wrath, The","POLITICAL_SCIENCE","GRAD",1
"Age of Wrath, The","POLITICAL_SCIENCE","UNDERGRAD",3
"Age of Wrath, The","PSYCHOLOGY","GRAD",4
"Age of Wrath, The","STATISTICS","GRAD",4
"Age of Wrath, The","STATISTICS","UNDERGRAD",4
"Age of the Warrior, The","COMPUTER_SCIENCE","GRAD",9
"Age of the Warrior, The","COMPUTER_SCIENCE","UNDERGRAD",8
"Age of the Warrior, The","DANCE","GRAD",4
"Age of the Warrior, The","DANCE","UNDERGRAD",4
"Age of the Warrior, The","ECONOMICS","GRAD",1
"Age of the Warrior, The","ENGLISH","GRAD",4
"Age of the Warrior, The","ENGLISH","UNDERGRAD",5
"Age of the Warrior, The","MATHEMATICS","GRAD",5
"Age of the Warrior, The","MATHEMATICS","UNDERGRAD",4
"Age of the Warrior, The","POLITICAL_SCIENCE","GRAD",3
"Age of the Warrior, The","POLITICAL_SCIENCE","UNDERGRAD",1
"Age of the Warrior, The","PSYCHOLOGY","GRAD",2
"Age of the Warrior, The","PSYCHOLOGY","UNDERGRAD",4
"Age of the Warrior, The","STATISTICS","GRAD",2
"Age of the Warrior, The","STATISTICS","UNDERGRAD",3
"Aghal Paghal","COMPUTER_SCIENCE","GRAD",3
"Aghal Paghal","COMPUTER_SCIENCE","UNDERGRAD",3
"Aghal Paghal","DANCE","GRAD",3
"Aghal Paghal","DANCE","UNDERGRAD",5
"Aghal Paghal","ECONOMICS","GRAD",8
"Aghal Paghal","ECONOMICS","UNDERGRAD",5
"Aghal Paghal","ENGLISH","GRAD",3
"Aghal Paghal","ENGLISH","UNDERGRAD",3
"Aghal Paghal","MATHEMATICS","GRAD",2
"Aghal Paghal","MATHEMATICS","UNDERGRAD",2
"Aghal Paghal","POLITICAL_SCIENCE","GRAD",1
"Aghal Paghal","POLITICAL_SCIENCE","UNDERGRAD",2
"Aghal Paghal","PSYCHOLOGY","GRAD",2
"Aghal Paghal","PSYCHOLOGY","UNDERGRAD",3
"Aghal Paghal","STATISTICS","GRAD",5
"Aghal Paghal","STATISTICS","UNDERGRAD",5
"Ahe Manohar Tari","COMPUTER_SCIENCE","GRAD",2
"Ahe Manohar Tari","COMPUTER_SCIENCE","UNDERGRAD",2
"Ahe Manohar Tari","DANCE","GRAD",2
"Ahe Manohar Tari","DANCE","UNDERGRAD",1
"Ahe Manohar Tari","ECONOMICS","GRAD",1
"Ahe Manohar Tari","ECONOMICS","UNDERGRAD",6
"Ahe Manohar Tari","ENGLISH","GRAD",3
"Ahe Manohar Tari","ENGLISH","UNDERGRAD",2
"Ahe Manohar Tari","MATHEMATICS","GRAD",1
"Ahe Manohar Tari","MATHEMATICS","UNDERGRAD",1
"Ahe Manohar Tari","POLITICAL_SCIENCE","GRAD",2
"Ahe Manohar Tari","POLITICAL_SCIENCE","UNDERGRAD",6
"Ahe Manohar Tari","PSYCHOLOGY","GRAD",4
"Ahe Manohar Tari","PSYCHOLOGY","UNDERGRAD",2
"Ahe Manohar Tari","STATISTICS","GRAD",2
"All the President's Men","COMPUTER_SCIENCE","GRAD",4
"All the President's Men","COMPUTER_SCIENCE","UNDERGRAD",3
"All the President's Men","DANCE","GRAD",3
"All the President's Men","DANCE","UNDERGRAD",1
"All the President's Men","ECONOMICS","GRAD",3
"All the President's Men","ECONOMICS","UNDERGRAD",4
"All the President's Men","ENGLISH","GRAD",5
"All the President's Men","ENGLISH","UNDERGRAD",1
